id,Season,Team,League,GP,GAA,SV%
8525,199394,Verdun College-Francais,QMJHL,26,3.21,.878
8525,199495,Halifax Mooseheads,QMJHL,47,3.93,.889
8525,199596,Halifax Mooseheads,QMJHL,55,3.45,.894
8525,199697,Hartford Whalers,NHL,8,3.65,.881
8525,199697,Halifax Mooseheads,QMJHL,50,3.37,.902
8525,199798,Saint John Flames,AHL,31,2.46,.926
8525,199899,Calgary Flames,NHL,15,3.21,.897
8525,199899,Saint John Flames,AHL,39,3.44,.905
8525,199900,Calgary Flames,NHL,7,2.72,.914
8525,199900,Saint John Flames,AHL,41,3.05,.897
8525,200001,Mighty Ducks of Anaheim,NHL,34,2.57,.911
8525,200001,Cincinnati Mighty Ducks,AHL,23,2.43,.917
8525,200102,Mighty Ducks of Anaheim,NHL,53,2.13,.920
8525,200102,Canada,WC,5,1.89,.921
8525,200203,Mighty Ducks of Anaheim,NHL,65,2.30,.920
8525,200304,Mighty Ducks of Anaheim,NHL,55,2.62,.914
8525,200304,Canada,WC,2,0.50,.975
8525,200405,Hamburg Freezers,DEL,6,2.39,.925
8525,200506,Mighty Ducks of Anaheim,NHL,60,2.62,.911
8525,200607,Anaheim Ducks,NHL,56,2.26,.918
8525,200708,Anaheim Ducks,NHL,58,2.12,.922
8525,200809,Anaheim Ducks,NHL,46,3.10,.900
8525,200910,Anaheim Ducks,NHL,20,3.14,.900
8525,200910,Toronto Maple Leafs,NHL,15,2.49,.916
8525,201011,Toronto Maple Leafs,NHL,33,2.87,.900
8525,201112,Colorado Avalanche,NHL,32,2.28,.919
8525,201213,Colorado Avalanche,NHL,18,2.84,.908
8525,201314,Colorado Avalanche,NHL,22,2.62,.913
8800,199495,Beauport Harfangs,QMJHL,56,2.48,.898
8800,199596,Beauport Harfangs,QMJHL,55,2.84,.897
8800,199596,Buffalo Sabres,NHL,3,5.05,.844
8800,199697,Beauport Harfangs,QMJHL,18,3.98,.881
8800,199697,Hull Olympiques,QMJHL,16,2.66,.907
8800,199697,Canada U20,WJC-20,1,0.00,1.000
8800,199798,Rochester Americans,AHL,41,2.94,.907
8800,199798,South Carolina Stingrays,ECHL,2,2.09,.929
8800,199899,Buffalo Sabres,NHL,6,2.14,.917
8800,199899,Rochester Americans,AHL,52,2.07,.930
8800,199900,Buffalo Sabres,NHL,41,2.42,.909
8800,199900,Rochester Americans,AHL,6,2.09,.924
8800,200001,Buffalo Sabres,NHL,18,2.55,.909
8800,200001,Rochester Americans,AHL,4,1.00,.955
8800,200102,Buffalo Sabres,NHL,72,2.22,.915
8800,200203,Buffalo Sabres,NHL,54,2.56,.908
8800,200304,Buffalo Sabres,NHL,52,2.52,.913
8800,200405,Did not play,,,,
8800,200506,Buffalo Sabres,NHL,35,2.88,.905
8800,200607,Buffalo Sabres,NHL,19,3.04,.899
8800,200607,Philadelphia Flyers,NHL,16,3.01,.908
8800,200708,Philadelphia Flyers,NHL,62,2.59,.918
8800,200809,Philadelphia Flyers,NHL,55,2.76,.915
8800,200910,New York Islanders,NHL,29,3.27,.896
8800,200910,Bridgeport Sound Tigers,AHL,2,3.40,.903
8800,201011,New York Rangers,NHL,17,2.13,.923
8800,201112,New York Rangers,NHL,21,2.46,.904
8800,201213,New York Rangers,NHL,6,2.32,.917
8800,201314,New York Rangers,NHL,2,7.65,.763
4700,,Tri-City Americans,WHL,35,3.29,.908
4700,199596,Tri-City Americans,WHL,55,3.41,.905
4700,199596,USA U20,WJC-20,4,3.55,.889
4700,199697,Tri-City Americans,WHL,41,3.64,.901
4700,199697,USA U20,WJC-20,6,1.51,.942
4700,199798,Philadelphia Phantoms,AHL,34,3.19,.888
4700,199899,Philadelphia Phantoms,AHL,36,2.59,.911
4700,199900,Philadelphia Flyers,NHL,35,1.91,.918
4700,199900,Philadelphia Phantoms,AHL,1,2.77,.903
4700,200001,Philadelphia Flyers,NHL,27,3.27,.876
4700,200102,Philadelphia Flyers,NHL,41,2.41,.905
4700,200203,Phoenix Coyotes,NHL,45,3.02,.894
4700,200304,Phoenix Coyotes,NHL,40,2.75,.914
4700,200405,HV71,SHL,4,3.32,.884
4700,200506,Phoenix Coyotes,NHL,11,3.87,.877
4700,200506,Calgary Flames,NHL,3,4.94,.854
4700,200506,San Antonio Rampage,AHL,6,1.39,.950
4700,200607,Chicago Blackhawks,NHL,15,3.27,.884
4700,200607,Columbus Blue Jackets,NHL,3,3.79,.866
4700,200708,Philadelphia Phantoms,AHL,42,2.47,.917
4700,200708,San Jose Sharks,NHL,5,1.76,.932
4700,200809,San Jose Sharks,NHL,22,2.18,.917
4700,200910,Philadelphia Flyers,NHL,33,2.76,.899
4700,200910,Adirondack Phantoms,AHL,1,2.00,.935
4700,201011,Philadelphia Flyers,NHL,34,2.42,.916
4700,201112,Carolina Hurricanes,NHL,10,3.40,.881
4700,201213,Philadelphia Flyers,NHL,4,2.50,.891
4700,201213,Adirondack Phantoms,AHL,16,2.57,.905
4700,201314,EV Zug,NLA,5,2.72,.925
9132,199495,Chicoutimi Saguenéens,QMJHL,32,3.48,.891
9132,199596,Chicoutimi Saguenéens,QMJHL,51,3.19,.891
9132,199697,Chicoutimi Saguenéens,QMJHL,41,2.69,.905
9132,199697,Colorado Avalanche,NHL,1,3.02,.885
9132,199697,Canada U20,WJC-20,7,1.86,.933
9132,199798,Hershey Bears,AHL,47,2.90,.899
9132,199899,Colorado Avalanche,NHL,4,2.49,.918
9132,199899,Hershey Bears,AHL,52,2.83,.914
9132,199900,Colorado Avalanche,NHL,23,2.54,.917
9132,200001,Columbus Blue Jackets,NHL,32,3.25,.895
9132,200102,Columbus Blue Jackets,NHL,42,3.11,.899
9132,200203,Columbus Blue Jackets,NHL,77,3.09,.903
9132,200304,Columbus Blue Jackets,NHL,66,2.56,.918
9132,200405,Did not play,,,,
9132,200506,Columbus Blue Jackets,NHL,49,3.25,.900
9132,200506,Canada,WC,5,2.51,.911
9132,200607,Tampa Bay Lightning,NHL,44,3.19,.883
9132,200708,Tampa Bay Lightning,NHL,10,4.05,.859
9132,200708,Norfolk Admirals,AHL,32,2.91,.910
9132,200809,Montréal Canadiens,NHL,1,3.00,.857
9132,200809,Hamilton Bulldogs,AHL,46,2.46,.920
81339,199293,Red Deer Chiefs Bantam AAA,AMBHL,20,3.03,.893
81339,199394,Swift Current Broncos,WHL,18,4.06,.872
81339,199495,Swift Current Broncos,WHL,53,3.59,.880
81339,199596,Swift Current Broncos,WHL,29,3.55,.882
81339,199596,Calgary Hitmen,WHL,19,4.92,.863
81339,199697,Calgary Hitmen,WHL,30,4.00,.881
81339,199697,Kelowna Rockets,WHL,23,3.34,.895
81339,199798,Tallahassee Tiger Sharks,ECHL,37,4.16,.871
81339,199899,Miami Matadors,ECHL,29,3.57,.892
81339,199900,Fort Wayne Komets,UHL,9,4.51,.861
67432,199394,Medicine Hat Tigers,WHL,19,4.42,.866
67432,199495,Medicine Hat Tigers,WHL,61,3.15,.901
67432,199596,Medicine Hat Tigers,WHL,60,3.69,.895
67432,199697,Boston Bruins,NHL,3,4.65,.760
67432,199697,Providence Bruins,AHL,22,3.73,.882
67432,199697,Charlotte Checkers,ECHL,4,1.76,.939
67432,199798,Providence Bruins,AHL,3,4.16,.890
